catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
1034,-97.6094,28.51445,0.0026907101784210503,2.11751544292511,0.13663536846434,0.16632358919311666,7.668528682093135e-5,23.481704874923693,55.96153846153846,2.5390498466410234,10.414989308010066,11.425742574257423
1035,-100.02904,29.79795,0.00198890448,2.90969827733088,0.138851973614954,0.5726003863230632,0.10107008653786724,3.500110892055149,64.61538461538461,2.813919552181253,5.324829741902004,16.6046511627907
1036,-99.72608,29.77502,0.00292729948526316,2.63804356656617,0.128439386964029,0.6176651842534794,0.1083284810486426,3.7571210003954114,45.89705882352941,2.729205917892153,4.902986415501989,17.257142857142856
1037,-99.85071,29.61316,0.00303295352947368,2.72084614213884,0.120591139379591,0.4798850846784713,0.03411121800604976,5.466292389914441,68.1639344262295,3.21961048714546,6.56029952758395,19.848484848484848
1038,-99.5361,29.63586,0.00243193224789474,2.50946156720505,0.105721055843636,0.2070278536282173,6.564426907982275e-4,13.399616349098425,168.1891891891892,2.485292027362087,13.090921186278356,27.29787234042553
1039,-105.4843,36.57883,0.590234312705263,1.51431757397044,0.395044874947057,0.698316329202279,0.24522066924318683,1.9257927173477285,18.32456140350877,3.4897116515947033,5.787675931745298,29.59259259259259
1040,-105.41104,36.46765,0.495748010421053,1.49220023091261,0.478666010266892,0.6501760949990376,0.1823913972451908,2.0031011516499575,22.80952380952381,4.286653813755082,7.236134600683491,29.77777777777778
1041,-105.46379,36.51731,0.643023450268421,1.49798590582711,0.410037766333287,0.686892827327867,0.2436710470186376,1.6934652737496263,27.702380952380953,3.769699128876998,6.061782817212514,20.53846153846154
1042,-106.67371,35.89207,0.388495309189474,1.92506308278736,0.372778136295499,0.6314141013693981,0.2084786073980452,2.338115278212495,8.574324324324325,4.0947639602259995,7.364122072939354,15.43859649122807
1043,-105.56471,35.8574,0.490015802821053,1.00414457179824,0.704139924832794,0.5714945306185919,0.12858640462109452,3.0538899891227125,22.879432624113477,4.445415702614986,7.2002330881710055,21.555555555555557
1044,-105.62717,35.84974,0.478059122910526,1.0760497364558,0.680359359578053,0.6430236307724514,0.224619232910011,1.8270336099828732,17.55263157894737,3.949751879749206,6.364202721159808,22.64864864864865
1045,-105.43926,35.72501,0.277065278664737,1.470046340024,0.684222460288318,0.5656158439114807,0.1351501904369382,3.1975737434729616,19.04191616766467,3.413186023440623,6.005797097480014,11.529411764705882
1046,-105.90659,39.74828,0.888723438478947,0.879528131475165,0.109483492374018,0.5082454057687328,0.06670534242538959,2.255741796319743,57.61842105263158,5.529468612262212,9.382900038971131,29.705882352941178
1047,-106.0091,39.73013,0.835350739142105,0.986933762865213,0.0623547368765855,0.6041446442167879,0.20590813029710883,1.404653521039882,36.8125,4.654412556787868,7.936756922285811,34.45161290322581
1048,-105.94456,39.56378,0.7738462534368421,1.04060922403397,0.180683393803935,0.6650096754715221,0.2781780550031639,1.581739734992908,16.763157894736842,4.049406297680779,6.711843105099093,28.64
1049,-106.22102,39.63208,0.869291392589474,0.882675673925856,-0.0129701661923762,0.5142126450745329,0.07900368027177368,2.4245432142812726,60.888888888888886,5.519581446014455,9.238810243051624,27.685185185185187
1050,-106.23261,39.57866,0.818554837873684,0.892764856183157,-0.0113792962757859,0.4962002690170732,0.12509245760158577,1.9389836439317545,75.51612903225806,5.51335717835106,10.001109852849952,35.911764705882355
1051,-106.31259,39.67954,0.851309106726316,0.983704319372328,-0.0989149695232053,0.48599943133785134,0.06079057453672763,2.649502087572766,62.21917808219178,5.453651391393392,9.508279566494544,31.264150943396228
